City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,San Patricio,US,28.02,-97.52,68.0,68,1,4.7,clear sky
1,Itoman,JP,26.12,127.67,82.4,69,40,9.17,scattered clouds
2,Rikitea,PF,-23.12,-134.97,73.85,86,91,24.32,overcast clouds
3,Zheleznodorozhnyy,RU,55.75,38.0,41.0,100,90,8.95,fog
4,Sao Filipe,CV,14.9,-24.5,78.51,78,94,5.84,overcast clouds
5,Vila Velha,BR,-20.33,-40.29,69.8,77,90,16.11,overcast clouds
6,Tubigan,PH,8.53,124.31,87.01,64,98,5.99,overcast clouds
7,Ternate,ID,0.8,127.4,85.41,68,84,6.64,moderate rain
8,Busselton,AU,-33.65,115.33,61.0,82,99,4.9,overcast clouds
9,Yellowknife,CA,62.46,-114.35,12.0,85,75,11.41,light snow
10,Hobart,AU,-42.88,147.33,79.0,40,0,9.17,clear sky
11,Jamestown,US,42.1,-79.24,35.01,86,90,18.34,light rain
12,Goderich,CA,43.75,-81.72,35.6,90,100,33.33,overcast clouds
13,Iqaluit,CA,63.75,-68.51,15.8,78,90,4.7,light snow
14,Minas,UY,-34.38,-55.24,55.4,87,0,4.41,clear sky
15,Isla Mujeres,MX,21.23,-86.73,80.28,83,60,15.19,broken clouds
16,Alyangula,AU,-13.85,136.42,98.6,18,90,11.41,overcast clouds
17,Hovd,MN,48.01,91.64,31.37,83,0,1.25,clear sky
18,Mersing,MY,2.43,103.84,78.8,88,40,6.93,scattered clouds
19,Cukai,MY,4.25,103.42,84.2,79,20,4.7,few clouds
20,Miraflores,MX,19.22,-98.81,53.38,68,34,6.67,scattered clouds
21,Punta Arenas,CL,-53.15,-70.92,51.8,76,0,4.7,clear sky
22,Codrington,AU,-38.27,141.97,74.89,62,4,10.76,clear sky
23,Hilo,US,19.73,-155.09,84.2,62,40,4.7,scattered clouds
24,Dikson,RU,73.51,80.55,17.82,97,90,8.88,overcast clouds
25,Atuona,PF,-9.8,-139.03,77.45,79,79,13.65,light rain
26,Qaanaaq,GL,77.48,-69.36,2.62,73,0,5.73,clear sky
27,Bredasdorp,ZA,-34.53,20.04,64.4,82,100,13.87,overcast clouds
28,Hamilton,US,39.18,-84.53,39.2,44,90,8.05,overcast clouds
29,Kapaa,US,22.08,-159.32,80.6,74,90,11.41,overcast clouds
30,Port Alfred,ZA,-33.59,26.89,64.62,82,26,17.25,scattered clouds
31,Saint George,US,37.1,-113.58,66.2,14,1,6.93,clear sky
32,Nelson Bay,AU,-32.72,152.15,72.0,56,40,20.8,scattered clouds
33,Agadez,NE,19.75,10.25,62.6,36,6,11.03,clear sky
34,Port Elizabeth,ZA,-33.92,25.57,62.6,93,75,12.75,broken clouds
35,College,US,64.86,-147.8,-0.99,83,20,2.21,few clouds
36,Dunedin,NZ,-45.87,170.5,55.0,65,51,17.0,broken clouds
37,Tiksi,RU,71.69,128.87,-4.7,90,1,6.71,clear sky
38,Bluff,NZ,-46.6,168.33,57.99,57,48,10.0,scattered clouds
39,Biak,ID,-0.91,122.88,84.29,66,99,6.08,overcast clouds
40,Saint-Philippe,RE,-21.36,55.77,69.8,56,90,6.93,overcast clouds
41,Ribeira Grande,PT,38.52,-28.7,62.73,75,38,18.81,scattered clouds
42,Mount Gambier,AU,-37.83,140.77,80.6,32,15,14.99,few clouds
43,Los Llanos De Aridane,ES,28.66,-17.92,71.6,37,0,8.05,clear sky
44,Catuday,PH,16.29,119.81,80.92,77,100,16.71,light rain
45,Cabo San Lucas,MX,22.89,-109.91,80.01,67,0,3.0,clear sky
46,Tuatapere,NZ,-46.13,167.68,57.99,57,20,10.0,few clouds
47,Shingu,JP,33.73,135.98,66.2,93,75,6.93,mist
48,Ushuaia,AR,-54.8,-68.3,57.2,54,75,4.7,broken clouds
49,Hithadhoo,MV,-0.6,73.08,83.03,73,98,7.47,light rain
50,Pevek,RU,69.7,170.31,13.98,97,100,8.39,overcast clouds
51,Cayenne,GF,4.93,-52.33,77.0,94,96,6.93,light rain
52,New Norfolk,AU,-42.78,147.06,80.01,25,100,4.0,overcast clouds
53,Isabela,PH,6.71,121.97,86.0,74,75,9.17,broken clouds
54,Coihaique,CL,-45.58,-72.07,55.4,54,0,3.36,clear sky
55,Airai,TL,-8.93,125.41,79.88,42,97,4.05,overcast clouds
56,Tuktoyaktuk,CA,69.45,-133.04,12.2,92,90,16.11,light snow
57,Kitale,KE,1.02,35.01,53.96,89,55,1.3,broken clouds
58,Margate,GB,51.38,1.39,63.0,86,100,11.01,light rain
59,Port Lincoln,AU,-34.73,135.87,77.54,38,62,13.56,broken clouds
60,Ibresi,RU,55.3,47.04,34.63,92,98,5.53,overcast clouds
61,Barrow,US,71.29,-156.79,26.6,68,40,19.46,scattered clouds
62,Koudougou,BF,12.25,-2.37,77.63,23,0,7.72,clear sky
63,Georgetown,MY,5.41,100.34,82.4,83,20,6.93,few clouds
